SIRET,NIC_ministere,SIREN,Code_CJ3,Raison_sociale,Nom,Prenom,Enseigne,Nom_commercial,Sigle,Code_Etat,Date_de_l_etat,Code_NAF2_10,Code_NAF2_38,Code_activite,Date_debut_activite,Ancien_code_APE,Code_Qualite_siege,NIC_du_siege,Code_UT_du_siege,Siege_et_region,Siege_et_departement,Code_tutelle,Tranche_eff__INSEE,Annee_tranche_eff_,Dernier_eff__physique,Date_der_eff_physique,Source_dernier_eff_phy,Eff_Physique_extrait,Date_Eff_phy_extrait,Source_Eff_phy_extrait,Dernier_effectif_ETP,Date_der_eff_ETP,Source_dernier_eff_ETP,Code_Employeur,Date_employeur,Date_de_creation,Code_Modalite_activ_,Code_Car__saisonnier,Code_Car__auxiliaire,Code_Marchand,Code_Accepte_refuse,Code_Region,Code_Departement,Code_UT,Code_Section,Date_Debut_section,Code_rivoli_de_la_voie,Numero_dans_la_voie,Code_Indice_repetition,Code_Type_de_voie,Libelle_voie,Complement_adresse,Code_postal,Code_commune,Libelle_commune,Annee_IDCC,Codes_IDCC
01765005200016,0,017650052,9110,COPROPRIETAIRES,,,,,,1,25/12/1994,8,N,8110Z,05/01/2008,703C,2,00016,30,RR,DD,1,01,31/12/2012,1,31/12/2012,230,,,,,,,O,01/01/2004,25/12/1994,S,P,N,MARCH,1,76,30,30,30U02,05/09/2014,301891100,,,PL,BIR HAKEIM,LE JUPITER,30000,30189,NIMES,2014,1
03508729500016,0,035087295,9110,SYNDIC COPROPRIETE RES PYRENEES I BA 4,,,,,,1,01/01/1973,8,N,8110Z,05/01/2008,703C,2,00016,31,RR,DD,1,01,31/12/2012,1,31/12/2012,230,,,,,,,O,01/01/2004,01/01/1973,S,P,N,MARCH,1,76,31,31,31U04,07/11/2014,311490072,1,,ALL,DE L ASPIN,ET 3,31770,31149,COLOMIERS,2014,1
03521310700010,0,035213107,9110,SYNDICAT DES COPROPRIETAIRE   IMMEU,,,,,,1,25/12/1995,8,N,8110Z,05/01/2008,703C,2,00010,31,RR,DD,1,01,31/12/2012,1,31/12/2012,230,,,,,,,O,01/01/2004,25/12/1995,S,P,N,MARCH,1,76,31,31,31U05,07/11/2014,315554256,20,,AV,HONORE SERRES,,31000,31555,TOULOUSE,2014,1
03521336200011,0,035213362,9110,SYNDICAT DES COPROPRIETAIRE   RESID,,,,,,1,25/12/1995,8,N,8110Z,05/01/2008,703C,2,00011,31,RR,DD,1,00,31/12/2012,0,31/12/2012,230,,,,,,,N,,25/12/1995,S,P,N,MARCH,1,76,31,31,31U05,07/11/2014,315551256,,,BD,BONREPOS,,31000,31555,TOULOUSE,2012,1
03521357800012,0,035213578,9110,SOLOSO,,,,,,1,01/01/1997,8,N,8110Z,05/01/2008,703C,2,00012,31,RR,DD,1,01,31/12/2012,1,31/12/2012,230,,,,,,,O,01/02/2008,01/01/1997,S,P,N,MARCH,1,76,31,31,31U02,07/11/2014,315551298,5,,IMP,DES BOSQUETS,,31100,31555,TOULOUSE,2014,1
03521671200014,0,035216712,9110,SYNDICAT DES COPROPRIETAIRE   RESID,,,,,,1,25/12/1995,8,N,8110Z,05/01/2008,703C,2,00014,31,RR,DD,1,01,31/12/2012,1,31/12/2012,230,,,,,,,O,01/01/2004,25/12/1995,S,P,N,MARCH,1,76,31,31,31U05,07/11/2014,315556516,9,,RUE,DES PAQUERETTES,,31500,31555,TOULOUSE,2014,1
03521761100017,0,035217611,9110,SYNDICAT DES COPROPRIETAIRE   RESID,,,,,,1,25/12/1995,8,N,8110Z,05/01/2008,703C,2,00017,31,RR,DD,1,01,31/12/2012,1,31/12/2012,230,,,,,,,O,,25/12/1995,S,P,N,MARCH,1,76,31,31,31U04,07/11/2014,315553116,12,,AV,ETIENNE BILLIERES,,31300,31555,TOULOUSE,2014,1
03521819700016,0,035218197,9110,SYNDICAT DES COPROPRIETAIRE   IMMEU,,,,,,1,25/12/1995,8,N,8110Z,05/01/2008,703C,2,00016,31,RR,DD,1,00,31/12/2010,0,31/12/2010,230,,,,,,,N,,25/12/1995,S,P,N,MARCH,1,76,31,31,31U01,07/11/2014,315558100,28,,RUE,DES SALENQUES,,31000,31555,TOULOUSE,2010,1
03521842900013,0,035218429,9110,SYNDIC COPRO RESIDENCE BARCELONNE,,,,CABINET FICAT MOULAS,,1,25/12/1995,8,N,8110Z,05/01/2008,703C,2,00013,31,RR,DD,1,01,31/12/2012,1,31/12/2012,230,,,,,,,O,,25/12/1995,S,P,N,MARCH,1,76,31,31,31U05,07/11/2014,315550840,90,,ALL,DE BARCELONE,,31000,31555,TOULOUSE,2014,1
03521913800019,0,035219138,9110,SYNDICAT DES COPROPRIETAIRE   IMMEU,,,,,,1,25/12/1995,8,N,8110Z,05/01/2008,703C,2,00019,31,RR,DD,1,00,31/12/2012,1,31/12/2012,230,,,,,,,O,,25/12/1995,S,P,N,MARCH,1,76,31,31,31U03,07/11/2014,315555132,1,,BD,LAZARE CARNOT,,31000,31555,TOULOUSE,2014,1
