client_siren,salaries_distincts_2020,salaries_distincts_2021
000000000,8,
000000991,2,
000001148,3,
000001270,2,
000001601,4,
000001973,8,
000002005,5,
000002773,18,
000004902,1,
000010941,2,
000012376,4,
000031244,2,
000034024,4,
000045897,6,
000060532,4,
000061266,1,
000063031,3,
000063205,1,
000074723,1,
000081298,10,
000082619,4,
000084581,2,
000084748,1,
000085604,19,
000091255,3,
000094119,1,
000094325,1,
000096627,1,
000104223,1,
000115781,3,
000116607,1,
000118363,2,
000119981,3,
000127000,1,
000129402,1,
000134758,1,
000138874,8,
001300028,8,
002600556,7,
003500014,1,
005900031,2,
006220065,5,
006380042,1,
006650097,10,
007320211,1,
008400025,2,
010208488,3,
015400611,1,
016750556,1,
016750697,1,
022000022,1,
025857786,7,
026980508,1,
027020022,9,
033286931,2,
033396866,9,
033600019,1,
035520022,5,
036320257,2,
036620219,2,
037500011,1,
040300080,5,
042400012,1,
044000064,1,
045650454,1,
045650553,3,
045800014,4,
046120176,12,
046850145,1,
050072000,2,
054800958,5,
054807748,1,
055200984,1,
056500382,1,
056501166,1,
056502958,1,
056807290,4,
057201188,1,
057502668,1,
057506677,3,
057801730,10,
057812968,2,
058503657,1,
059500439,2,
060803335,6,
061000020,1,
061500864,4,
062201009,4,
063200604,3,
066502147,1,
066803677,1,
067501650,1,
068200690,8,
070201363,4,
070503016,1,
071200422,6,
071803795,7,
072200140,1,
072200355,1,
072500739,5,
074900013,1,
075550731,21,
075620096,1,
075751230,4,
076220011,3,
077280089,4,
085520195,7,
086080595,5,
086880036,2,
096281018,1,
099400011,2,
101100053,3,
102900030,1,
106900062,3,
107600029,6,
110002011,1,
115500052,2,
119400022,3,
119500023,2,
123901996,3,
124800201,7,
130003213,1,
130008386,1,
130015506,1,
130015536,2,
130017270,2,
130018310,1,
130021363,1,
130021595,5,
130023583,1,
130023963,5,
131787056,1,
131791447,8,
142100048,5,
142212148,1,
151000023,4,
153010734,1,
156000077,2,
158000039,2,
162985730,2,
171300015,6,
174765651,3,
180007023,1,
180036147,7,
180046021,12,
180046260,1,
180092025,1,
181300054,4,
186008512,1,
187736401,1,
189430055,12,
193300019,3,
193708005,1,
193819125,2,
194210951,1,
197517238,3,
197534720,1,
197534803,13,
197534969,1,
197536675,1,
200011203,1,
200017416,12,
200017598,4,
200023372,6,
200025542,10,
200030195,4,
200030385,1,
200032258,2,
200033314,1,
200034700,6,
200035863,6,
200042604,4,
200046977,7,
200046985,1,
200049187,3,
200050292,2,
200054807,8,
200057859,1,
200057966,6,
200059228,18,
200062321,1,
200064038,2,
200066009,17,
200067106,1,
200067262,3,
200067361,3,
200067619,1,
200068757,3,
200070290,2,
200070811,1,
200086924,33,
200091577,1,
201080043,1,
201100044,5,
203600029,1,
210000053,2,
210101606,3,
210300950,10,
210600292,7,
210600797,5,
210600995,2,
210801734,1,
210900320,3,
210901609,6,
211301171,1,
211700083,3,
212000335,36,
212900583,10,
213301146,4,
213301922,2,
213400328,16,
213402993,2,
213701220,3,
213802051,5,
213803141,6,
213804164,6,
214200021,1,
214200958,6,
214400558,1,
214796527,1,
214798527,24,
215005026,6,
215200833,1,
215202011,1,
215702267,2,
215704636,3,
215706425,1,
215902537,1,
215902719,1,
216202002,13,
216301135,2,
216600171,14,
216601369,2,
216705202,1,
216801498,4,
216802694,17,
217400134,10,
217401199,6,
217702968,3,
217703909,2,
217800051,14,
218100048,4,
218600625,2,
219103777,1,
219200490,31,
219200508,3,
219200516,33,
219300480,2,
219300555,2,
221300015,3,
225700012,3,
226200012,1,
226400018,1,
226500015,16,
226700011,6,
228400016,1,
231135311,3,
233300094,1,
237100027,2,
237500079,5,
240900399,1,
242108923,15,
242700573,1,
243500139,2,
244500468,1,
244788231,42,
244900014,1,
245600366,10,
245701404,1,
246700488,19,
246899008,1,
247400013,9,
248000531,2,
248500589,10,
248900013,5,
249300343,2,
250602109,2,
252700024,6,
253102495,1,
253306435,10,
253906234,2,
254001977,1,
254401094,33,
255701880,1,
256205086,2,
256601675,1,
256701038,1,
256900994,3,
258801505,1,
260600705,1,
261200208,1,
261600340,1,
262100076,1,
262204901,1,
262501760,1,
263400160,1,
264500091,1,
265400200,1,
265400317,2,
265613349,3,
265700054,1,
266405489,3,
266405521,1,
266600022,1,
266700574,2,
266800903,2,
266900257,1,
266900273,4,
267100097,2,
267200160,2,
267601714,4,
268300217,1,
268300241,2,
269000030,1,
269001293,1,
269201547,1,
269500153,1,
269600037,2,
270800019,1,
271600015,1,
274344000,1,
274401176,6,
275521202,1,
279000543,1,
279928322,1,
281131167,2,
285400016,1,
286800230,1,
290501063,6,
29108869t,2,
293800021,2,
2imou1242,2,
2LaCiotat,2,
300154226,4,
300219177,1,
300265253,1,
300285731,4,
300286853,6,
300333283,1,
300379450,1,
300398880,3,
300462413,2,
300488616,4,
300500915,1,
300601374,5,
300608775,2,
300702305,1,
300759883,6,
300847290,5,
300881265,9,
300987468,1,
300989001,3,
301029856,3,
301097937,2,
301163879,1,
301164273,1,
301165544,1,
301165726,1,
301293999,6,
301331054,1,
301503231,1,
301523460,20,
301573069,3,
301619714,3,
301693271,2,
301693479,1,
301710349,1,
301772844,2,
301850277,2,
301861530,2,
301862231,1,
301863759,1,
301864344,1,
301896619,1,
301897278,15,
301921201,10,
301940011,2,
301940219,2,
301968095,1,
301968178,2,
301984563,1,
302045794,8,
302046509,1,
302115415,1,
302133939,1,
302206545,4,
302304068,1,
302396189,2,
302430418,2,
302430657,3,
302454723,22,
302475041,1,
302476106,1,
302476213,2,
302555610,1,
302565544,1,
302607114,1,
302607312,1,
302664792,2,
302732029,3,
302898465,1,
303016810,3,
303038939,9,
303215123,1,
303217640,8,
303321582,4,
303375406,1,
303409619,18,
303467633,1,
303628499,1,
303664031,1,
303750001,1,
303804553,1,
303829964,1,
303847222,2,
303890602,2,
303952675,1,
303993562,1,
304217987,3,
304425960,15,
304439706,1,
304463672,2,
304505050,1,
304536915,1,
304557275,2,
304575194,2,
304613912,1,
304653553,1,
304691801,4,
304709256,1,
304817281,2,
304926520,1,
304951551,2,
305094161,2,
305119125,2,
305154817,5,
305190084,5,
305207557,5,
305219917,1,
305231854,7,
305241457,6,
305273773,1,
305291007,2,
305333668,3,
305348997,2,
305390973,1,
305448870,1,
305462210,51,
305506412,5,
305635336,4,
305635583,10,
305636300,1,
305689895,1,
305708919,2,
305750580,9,
305751034,1,
305756413,2,
305792079,1,
305817983,2,
305820649,2,
305822140,12,
305837023,4,
305840522,45,
305902603,2,
306002007,31,
306042268,2,
306042821,6,
306050188,2,
306062944,19,
306093998,4,
306160219,1,
306168436,1,
306187196,1,
306354416,8,
306380072,2,
306473679,1,
306522665,1,
306796988,5,
306865601,1,
306881285,3,
306896374,2,
306926353,1,
306950312,4,
306954736,1,
306961186,1,
306964271,1,
306986647,1,
307106757,2,
307147363,1,
307150334,1,
307206037,4,
307207472,4,
307337360,4,
307350330,2,
307376012,2,
307390401,2,
307584045,10,
307615757,5,
307918128,5,
308307065,10,
308549377,1,
308575463,3,
308635549,1,
