numero_de_dossier,type_de_dossier,etat_du_dossier,accord_signe,date_de_jugement,date_d_enregistrement,situation_juridique,siret,nombre_de_ruptures_de_contrats_en_debut_de_procedure,nombre_de_ruptures_de_contrats_en_fin_de_procedure
23277,"PSE : plan de sauvegarde de l'emploi",en_cours_procedure,Non,,18/07/2018,In bonis,33040609100133,9,
23277,"PSE : plan de sauvegarde de l'emploi",en_cours_procedure,Non,,18/07/2018,In bonis,33040609100034,13,
398,"PSE : plan de sauvegarde de l'emploi",BilanTermine,,,28/11/2013,In bonis,39916141300055,19,
20833,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Oui,,27/07/2017,In bonis,54207855500027,280,270
3678,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,08/10/2015,In bonis,30761503900020,11,
19862,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,02/05/2017,Periode observation en RJ (L.631-17),80264311400217,60,60
277,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,,,16/10/2013,Liquidation judiciaire (anciens delais),38939094900045,22,
277,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,,,16/10/2013,Liquidation judiciaire (anciens delais),38939094900193,,
277,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,,,16/10/2013,Liquidation judiciaire (anciens delais),38939094900201,14,
17579,"PSE : plan de sauvegarde de l'emploi",cloture,Non,,10/05/2016,Periode observation en RJ (L.631-17),34939068200061,25,
17579,"PSE : plan de sauvegarde de l'emploi",cloture,Non,,10/05/2016,Periode observation en RJ (L.631-17),34939068200079,,
17579,"PSE : plan de sauvegarde de l'emploi",cloture,Non,,10/05/2016,Periode observation en RJ (L.631-17),34939068200087,20,
23242,"PSE : plan de sauvegarde de l'emploi",instruit,Oui,,13/07/2018,In bonis,71202907300061,13,13
19827,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,26/04/2017,In bonis,81299083600296,1,1
19827,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,26/04/2017,In bonis,81299083600031,1,1
19827,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,26/04/2017,In bonis,81299083600072,1,1
19827,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,26/04/2017,In bonis,81299083600254,1,1
19827,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,26/04/2017,In bonis,81299083600213,1,1
19827,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,26/04/2017,In bonis,81299083600221,1,1
19827,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,26/04/2017,In bonis,81299083600239,1,0
19827,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,26/04/2017,In bonis,81299083600304,1,1
19827,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,26/04/2017,In bonis,81299083600379,1,1
19827,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,26/04/2017,In bonis,81299083600387,1,1
19827,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,26/04/2017,In bonis,81299083600452,1,1
19827,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,26/04/2017,In bonis,81299083600486,1,1
19827,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,26/04/2017,In bonis,81299083600114,1,1
19827,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,26/04/2017,In bonis,81299083600130,1,1
19827,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,26/04/2017,In bonis,81299083600148,1,1
19827,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,26/04/2017,In bonis,81299083600502,1,1
19827,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,26/04/2017,In bonis,81299083600197,1,1
19827,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,26/04/2017,In bonis,81299083600338,1,1
19827,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,26/04/2017,In bonis,81299083600247,1,1
19827,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,26/04/2017,In bonis,81299083600064,1,1
19827,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,26/04/2017,In bonis,81299083600353,1,1
19827,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,26/04/2017,In bonis,81299083600346,1,1
19827,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,26/04/2017,In bonis,81299083600049,1,1
19827,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,26/04/2017,In bonis,81299083600536,1,1
19827,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,26/04/2017,In bonis,81299083600163,1,1
2840,"PSE : plan de sauvegarde de l'emploi",BilanEnRetard,Non,,23/04/2015,In bonis,42125973000016,95,96
3674,"PSE : plan de sauvegarde de l'emploi",BilanTermine,Non,,08/10/2015,In bonis,38906662200058,1,
23499,"PSE : plan de sauvegarde de l'emploi",instruit,Non,,11/09/2018,In bonis,48243589800291,2,2
23499,"PSE : plan de sauvegarde de l'emploi",instruit,Non,,11/09/2018,In bonis,48243589800192,4,3
23499,"PSE : plan de sauvegarde de l'emploi",instruit,Non,,11/09/2018,In bonis,48243589800499,4,4
23499,"PSE : plan de sauvegarde de l'emploi",instruit,Non,,11/09/2018,In bonis,48243589800051,5,4
23499,"PSE : plan de sauvegarde de l'emploi",instruit,Non,,11/09/2018,In bonis,48243589800390,5,4
23499,"PSE : plan de sauvegarde de l'emploi",instruit,Non,,11/09/2018,In bonis,48243589800424,6,0
